Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longMedium,1,8.000,1800.000,1756.000,-2.400,35.030,35.040,130.000,380.000,1.756,0.015,0.046,0.026,1.802,1.710,1.793,1.708,-2.400,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,1800.000,1842.000,2.300,35.040,35.050,130.000,468.000,1.842,0.033,0.100,0.055,1.943,1.742,1.907,1.741,2.300,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,1800.000,1785.000,-0.900,34.820,34.810,130.000,426.000,1.785,0.023,0.068,0.038,1.853,1.717,1.830,1.738,-0.900,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,1800.000,1827.000,1.500,35.020,35.040,130.000,380.000,1.827,0.019,0.057,0.031,1.884,1.770,1.874,1.788,1.500,0.000,100.000,33.000,0.000
mode longMedium,3,5.000,1800.000,1845.000,2.500,35.050,35.050,130.000,468.000,1.845,0.075,0.226,0.122,2.071,1.619,2.013,1.644,2.500,0.000,100.000,22.000,0.000
mode longMedium,3,6.000,1800.000,1781.000,-1.000,34.840,34.810,130.000,426.000,1.781,0.026,0.079,0.045,1.861,1.702,1.850,1.708,-1.000,0.000,100.000,26.000,0.000
mode longMedium,3,8.000,1800.000,1805.000,0.300,35.030,35.040,130.000,380.000,1.805,0.026,0.077,0.043,1.882,1.728,1.879,1.741,0.300,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,1800.000,1770.000,-1.700,35.000,35.050,130.000,468.000,1.770,0.062,0.185,0.105,1.955,1.584,1.904,1.468,-1.700,0.000,100.000,42.000,0.000
mode longMedium,3,10.000,1800.000,1843.000,2.400,35.070,35.050,130.000,468.000,1.843,0.051,0.154,0.083,1.997,1.689,1.966,1.664,2.400,0.000,100.000,42.000,0.000
mode longMedium,0,15.000,1800.000,1784.000,-0.900,35.030,34.960,130.000,468.000,1.784,0.062,0.185,0.104,1.970,1.599,1.904,1.631,-0.900,0.000,100.000,61.000,0.000
mode longMedium,3,15.000,1800.000,1811.000,0.600,35.050,34.960,130.000,468.000,1.811,0.054,0.163,0.090,1.974,1.648,1.949,1.681,0.600,0.000,100.000,61.000,0.000
mode longMedium,0,20.000,1800.000,1791.000,-0.500,35.250,35.140,130.000,468.000,1.791,0.064,0.193,0.108,1.984,1.597,1.959,1.651,-0.500,0.000,100.000,81.000,0.000
mode longMedium,0,25.000,1800.000,1751.000,-2.700,34.970,34.960,130.000,418.000,1.751,0.036,0.109,0.062,1.860,1.642,1.800,1.641,-2.700,0.000,100.000,100.000,0.000
